,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Post Views,Total Views,Total Views For All Crossposts,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score,illuminating_scored_messageelection_integrity_Truth_illuminating,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,image_msg_type_illuminating,cta_msg_type_illuminating,engagement_cta_subtype_illuminating,fundraising_cta_subtype_illuminating,voting_cta_subtype_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,foreign_policy_topic_illuminating,governance_topic_illuminating,health_topic_illuminating,immigration_topic_illuminating,lgbtq_issues_topic_illuminating,military_topic_illuminating,race_and_ethnicity_topic_illuminating,safety_topic_illuminating,social_and_cultural_topic_illuminating,technology_and_privacy_topic_illuminating,womens_issue_topic_illuminating,incivility_illuminating,scam_illuminating,freefair_illuminating,fraud_illuminating
count,14398.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,16544.0,16544.0,16544.0,0.0,0.0,0.0,16544.0,0.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,19009.0,18060.0,19009.0,19009.0
mean,2210.154813168496,2377.6954074385817,901.583197432795,320.53895523173236,413.87732126887266,5.8683255300120996,105.71971171550318,10.172181598190331,20.05550002630333,34.92903361565574,6485.058510638298,7461.847014023211,3555.9379835589943,,,,-2.744160420696325,,0.549266137092956,0.4603082750276185,0.2166868325530012,0.14856120784891366,0.1328318165079699,0.0908517018254511,0.01841233100110474,0.023409963701404597,0.05239623336314377,0.09037824188542269,0.014992898100899574,0.022252617181335158,0.03687726866221264,0.03109053606186543,0.04866116050291967,0.04082276816244937,0.0033668262402020096,0.0055763059603345785,0.021568730601294123,0.032195275921931714,0.06170761218370246,0.0020516597401230995,0.0254616234415277,0.1278867904676732,0.020210409745293468,0.0028407596401704457,0.00862749224051765
std,13066.622356917263,11253.469668562248,3681.9800962414115,1722.1598787908092,3730.940449783579,52.946978621835086,942.034248188069,418.3250070508284,156.02008883853503,790.1032133297067,90392.95844483376,95976.27884773153,88094.04831888725,,,,7.808476956626709,,0.497580016079574,0.498435187805786,0.4119982751678419,0.3556647719112419,0.3394018046223717,0.2874056636829141,0.13444057384240987,0.15120562176830254,0.22283060875079397,0.2867304314176825,0.12152731400515625,0.14750790777543615,0.1884653927513749,0.17356698831044248,0.2151643265574399,0.19788463748089133,0.0579281214240242,0.07446813078449072,0.1452743291351743,0.17652302788510532,0.24063006640218326,0.045249951907479054,0.15752661549177788,0.33397249424700715,0.1407232944376072,0.05322441874762224,0.09248518037867293
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-198.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,47.0,31.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-3.87,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,133.0,139.0,48.0,21.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,-1.62,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,452.75,738.0,354.0,102.0,70.0,3.0,29.0,2.0,9.0,6.0,0.0,0.0,0.0,,,,1.16,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,470087.0,351979.0,93872.0,76150.0,244482.0,4345.0,99276.0,56111.0,11814.0,85236.0,4276477.0,4462155.0,4499458.0,,,,246.78,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
